,ticker,index,d_sameind,launch_order,CUSIP
644,IPFF,S&P Intl Preferred Stock TR USD,0,,46429B13
645,IPKW,NASDAQ International BuyBack Achievers USD,0,,46138E64
646,IPO,Renaissance IPO USD,0,,75993720
647,IPOS,Renaissance International IPO Index,0,,75993730
648,IQDE,Northern Trust Intl Quality Div TR USD,0,,33939L81
649,IQDF,Northern Trust Intl Quality Div TR USD,0,,33939L83
650,IQDG,WisdomTree International Quality Dividend Growth Index,0,,97717X13
651,IQDY,Northern Trust Intl Quality Div TR USD,0,,33939L82
652,IQIN,IQ 500 International Index,0,,45409B36
653,IQLT,MSCI World ex USA Sector Neutral Quality Index,0,,46434V45
654,IQSI,IQ Candriam ESG International Equity Index,0,,45409B45
655,IQSU,IQ Candriam ESG US Equity Index,0,,45409B46
656,IRBO,NYSE FactSet Global Robotics and Artificial Intelligence Index,0,,46435U55
657,ISCF,MSCI World ex USA Small Cap Diversified MultiFactor Index,0,,46434V26
658,ISDS,Invesco Strategic Developed ex-US Small Company Index,0,,46138J71
659,ISDX,Invesco Strategic Developed ex-US Index,0,,46138J72
660,ISEM,Invesco Strategic Emerging Markets Index,0,,46138J69
661,ISMD,Inspire Small/Mid Cap Impact Equal Weight Index,0,,66538H64
662,ISRA,BlueStar Israel Global TR USD,0,,92189F63
663,ISZE,MSCI World ex USA Risk Weighted Index,0,,46435G50
664,ITA,US Defense Sector,1,2.0,46428876
665,ITB,DJ US Select Home Builders TR USD,0,,46428875
666,ITEQ,TASE-Bluestar Israel Global Technology Index,0,,26924G87
667,ITOT,US Total Market,1,2.0,46428715
668,IUS,Invesco Strategic US Index,0,,46138J74
669,IUSG,Russell 3000 Growth Index,0,,46428767
670,IUSS,Invesco Strategic US Small Company Index,0,,46138J73
671,IUSV,Russell 3000 Value Index,0,,46428766
672,IVE,S&P 500 Value Index,1,1.0,46428740
673,IVES,Dan Ives Global Cloud Technology Prime Index,0,,26924G80
674,IVLU,MSCI World ex USA Enhanced Value Index,0,,46435G40
675,IVOG,S&P Midcap 400 Growth Index,1,3.0,92193286
676,IVOO,S&P Midcap 400 Index,1,3.0,92193288
677,IVOV,S&P Midcap 400 Value Index,1,3.0,92193284
678,IVV,S&P 500 Index,1,2.0,46428720
679,IVW,S&P 500 Growth Index,1,1.0,46428730
680,IWB,Russell 1000 Index,1,1.0,46428762
681,IWC,Russell Micro Cap TR USD,0,,46428886
682,IWD,Russell 1000 Value Index,1,1.0,46428759
683,IWF,Russell 1000 Growth Index,1,1.0,46428761
684,IWFH,NYSE FactSet Global Virtual Work and Life Index,0,,46436E58
685,IWL,Russell Top 200 TR USD,0,,46428944
686,IWM,Russell 2000 Index,1,1.0,46428765
687,IWN,Russell 2000 Value Index,1,1.0,46428763
688,IWO,Russell 2000 Growth Index,1,1.0,46428764
