,mgrno,urgency
73,45639.0,0.6298241001076164
74,7900.0,0.05092178792057277
75,13981.0,1.29075044155511
76,67600.0,0.5339524999809299
77,8738.0,1.0647038632893073
78,8866.0,1.4508753351430848
79,8918.0,0.6902972481877454
80,9018.0,1.2224240918838138
81,12983.0,0.25953259499085163
82,74575.0,0.6697243994830363
83,10578.0,0.05275692471683827
84,11697.0,0.530762701865987
85,12263.0,0.6235488734440564
86,13936.0,1.0600160381909078
87,22710.0,1.7545557525316913
88,30095.0,0.3173577280073133
89,14078.0,0.9886962706768786
90,8769.0,0.61818310811797
91,55390.0,0.5872995910553009
92,84900.0,0.42486403593955246
93,22767.0,
94,12309.0,1.3114912665483804
95,22872.0,1.4348576403282314
96,41145.0,0.1610541266848654
97,9385.0,0.226815329946265
98,22623.0,1.1249626239225168
99,10796.0,0.7758133122977396
100,11807.0,0.9583722760888322
101,20584.0,1.5490238346497638
102,22672.0,1.625131444378816
103,28140.0,0.6043443221698936
104,22696.0,0.9629000672426805
105,28200.0,0.5653990077788725
106,58835.0,0.41940586098460947
107,19146.0,0.5520939476523019
108,27800.0,1.0398198142854451
109,12986.0,1.0879160036984021
110,25610.0,1.0399254089572108
111,21732.0,1.0977906149944514
112,14311.0,1.773916036761054
113,26286.0,1.7468478694433625
114,9179.0,0.5500495726442343
115,10709.0,0.8513265887394772
116,26123.0,
117,26514.0,
118,350.0,1.0413423339692878
119,3100.0,0.6325874449274904
120,4423.0,
121,4730.0,0.8938577199443027
122,5160.0,1.9726735067168328
123,5900.0,0.745432068274146
124,5920.0,2.000423123519264
125,5970.0,0.7807868335886308
126,6027.0,0.3013022332341236
127,6135.0,0.6255312224273046
128,7607.0,0.7851049172642889
129,7646.0,1.5063243186348974
130,7689.0,0.8616077085864375
131,7720.0,0.06024896703349963
132,7758.0,0.7843516736768171
133,7782.0,0.13415771737693655
134,7800.0,0.39106007970389783
135,7838.0,0.43658763659101046
136,7847.0,0.9260727326300714
137,7878.0,0.5205581864027871
138,8140.0,0.5598659185709978
139,8245.0,1.32043981007212
140,8254.0,0.8598656757512533
141,8712.0,0.28700389068358517
142,8734.0,1.5125678229700277
143,8761.0,1.0837463567281589
144,8765.0,1.2418438442972883
145,8780.0,1.1889717366323354
146,8782.0,1.065711359672877
147,8788.0,1.486595315219531
148,8834.0,1.0292754109114526
149,8836.0,0.9945035856291256
150,8865.0,0.19392901037353186
151,8874.0,0.6309369869602128
152,8877.0,0.1499947854488422
153,8882.0,1.2683646950858083
154,8886.0,1.1028842145476756
155,8888.0,1.6504764994111385
156,8899.0,1.4675111746100358
157,8910.0,2.430723816148258
158,8914.0,
159,8916.0,1.012471240763058
160,8917.0,1.443979774693958
161,8920.0,
162,8928.0,2.21780042505159
163,8942.0,1.131437737539334
164,8945.0,1.097977915908953
165,8950.0,0.9114191667969754
166,8953.0,1.0026772984876384
167,8959.0,1.4156348611724356
168,8971.0,1.3188978648318335
169,8975.0,0.7564772997263383
170,9021.0,1.5243049315033688
171,9026.0,
172,9028.0,0.5576840207469512
173,9031.0,0.273916254937843
174,9038.0,0.545470785311064
175,9043.0,
176,9045.0,1.441251057988727
177,9056.0,1.4927792658329238
178,9061.0,1.6202341987924298
179,9064.0,2.2535902986706047
180,9150.0,1.2968086556532457
181,9174.0,0.7259606472339712
182,9183.0,0.6129497908493675
183,9184.0,1.287624652763149
184,9190.0,2.3896776833655906
185,9205.0,0.8010756859080417
186,9217.0,3.816256872668567
187,9226.0,1.3834480838694183
188,9230.0,2.2760439375497303
189,9235.0,2.2258451553380167
190,9252.0,1.250933510721836
191,9266.0,1.8279854130500246
192,9268.0,2.7620442755331367
193,9271.0,0.6221296493895966
194,9291.0,0.8437642155530317
195,9304.0,1.0820739177875043
196,9307.0,0.9283976542446216
197,9311.0,1.8405583500797176
198,9313.0,0.26336766799206635
199,9318.0,1.6671628859631529
200,9324.0,1.6337370197184042
201,9336.0,2.05153191843013
202,9337.0,1.1976779328535372
203,9342.0,1.398714344197557
204,9343.0,1.4610328939237782
205,9355.0,1.4289885721828681
206,9356.0,1.2041239922512772
207,9361.0,1.4464410392863791
208,9362.0,0.601095589366368
209,9363.0,1.3337277338455111
210,9366.0,0.9999910646933234
211,9375.0,0.3994122206861429
212,9386.0,1.1933006595420073
213,9400.0,0.6894185261682815
214,9414.0,0.854552466215963
215,9417.0,1.823569284500343
216,9559.0,1.6079668937958627
217,9975.0,1.0646472457313487
218,9980.0,1.402113910245497
219,10004.0,0.9105140699096514
220,10028.0,0.7016488196883506
