,index,fdate,ix_urgency_mean,ix_urgency_median,ix_urgency_min,ix_urgency_max,ix_urgency_std,ix_urgency_q25,ix_urgency_q75,d_sameind
21,Acquirers Index,20200331,0.5250962521239643,0.45357730066544677,0.1651362894237347,1.1439847528092628,0.3394872219668442,0.3443057284683574,0.5832093237492871,0
22,Adaptive Wealth Strategies U.S. Factor Index,20180930,0.3530870252530858,0.3530870252530858,0.3530870252530858,0.3530870252530858,,0.3530870252530858,0.3530870252530858,0
23,Adaptive Wealth Strategies U.S. Factor Index,20181231,0.39128796469078425,0.3906537251215307,0.1651362894237347,0.6655171690807616,0.19718627373401776,0.22986623115404858,0.5172857909545773,0
24,Adaptive Wealth Strategies U.S. Factor Index,20190331,0.47282449201623616,0.4795327814552191,0.1651362894237347,0.9107312995037044,0.2658693961550422,0.270939829187061,0.6062457076784364,0
25,Adaptive Wealth Strategies U.S. Factor Index,20190630,0.43267868250842334,0.45003063576459845,0.1651362894237347,0.6655171690807616,0.219993182264363,0.306099341295748,0.5766099769772738,0
26,Adaptive Wealth Strategies U.S. Factor Index,20190930,0.44493954298559013,0.4130245922389702,0.1887926331210362,0.6655171690807616,0.1665054172931681,0.3515222298263146,0.5720989734028668,0
27,Adaptive Wealth Strategies U.S. Factor Index,20191231,0.7288444447254735,0.5469742462761111,0.1651362894237347,2.2738954304087584,0.7021068802676349,0.4163099033541524,0.6416426701307024,0
28,Adaptive Wealth Strategies U.S. Factor Index,20200331,0.44115474123753073,0.44627868684709465,0.1887926331210362,0.6655171690807616,0.16446458715460238,0.36807141699955687,0.5301138800708881,0
29,Alerian Energy Infrastructure USD,20131231,0.35238091583460535,0.2595325949908516,0.1887926331210362,0.6088175193919281,0.2248795995290533,0.2241626140559439,0.4341750571913898,0
30,Alerian Energy Infrastructure USD,20140331,0.24587504682622593,0.1887926331210362,0.0070961972035792,0.6088175193919281,0.2228823988914321,0.1651362894237347,0.2595325949908516,0
31,Alerian Energy Infrastructure USD,20140630,0.4545346390876239,0.5659937647499075,0.1887926331210362,0.6088175193919281,0.23113324899669768,0.37739319893547185,0.5874056420709177,0
32,Alerian Energy Infrastructure USD,20140930,0.5637009861268348,0.6088175193919281,0.1651362894237347,0.8603742489506339,0.2509371945113382,0.5659937647499075,0.61818310811797,0
33,Alerian Energy Infrastructure USD,20141231,0.5973051916516294,0.6088175193919281,0.1887926331210362,0.9114191667969754,0.21490030827409243,0.5469742462761111,0.6459687780804567,0
34,Alerian Energy Infrastructure USD,20150331,0.52223120806138,0.5659937647499075,0.0070961972035792,1.1431320033858847,0.3039378448740304,0.30900794625034095,0.636547156505706,0
35,Alerian Energy Infrastructure USD,20150630,0.5133012311255706,0.5659937647499075,0.0070961972035792,1.1431320033858847,0.3051244113158199,0.3009086126800032,0.636547156505706,0
36,Alerian Energy Infrastructure USD,20150930,0.4733829375830105,0.530762701865987,0.0070961972035792,1.1431320033858847,0.2845044430807062,0.1887926331210362,0.61818310811797,0
37,Alerian Energy Infrastructure USD,20151231,0.7854191231782306,0.6298241001076164,0.0070961972035792,2.5891344771306333,0.6138793207751968,0.47999298062281637,0.9605150413183677,0
