v1,ticker,quarter,logret_q,logret_q_lag,yearmonth,inception,lend_byaum_bps,index_id,mer_bps,spread_bps_crsp,log_volume,tr_error_bps,perf_drag_bps,turnover_frac,d_uit,mkt_share,marketing_fee_bps,aum,cum_mktg_expense,d_sameind,log_profit,d_ownindex,marketing_expense,inception_q,quarter_decimal,inc_quarter_decimal,time_existence,quarters_in_sample,etf_per_index,uniquevals,rank_fee,highfee,rank_spread,highspread,rank_inception,firstmover,us_index,issuer,description,primary_benchmark,tax_classification,is_etn,asset_class,category,is_levered,is_active,creation_fee,other_expenses,total_expenses,fee_waivers,net_expenses,lead_market_maker,mgr_duration,mgr_duration_tii,mgr_duration_tsi,time_since_first,ratio_tii,ratio_tra,mgr_duration_index,ratio_tra_ix,aum_index,log_aum_index,log_aum,stock_tweets,sum_of_replies,sum_of_likes,stock_tweets_raw,qduration,same_benchmark,same_lead_mm,qs_dollar_tw,qs_percent_tw,es_dollar_ave,es_percent_ave,rs_dollar_ave,rs_percent_ave,pi_dollar_ave,pi_percent_ave,es_dollar_dw,es_dollar_sw,es_percent_dw,es_percent_sw,rs_dollar_sw,rs_dollar_dw,rs_percent_sw,rs_percent_dw,pi_dollar_sw,pi_dollar_dw,pi_percent_sw,pi_percent_dw
10,ACWI,20183,.043203857,.0029471531,20189,2008-03-26,.77006507,All World,32,1.358885,18.767481,17.802013,1.9174762,4.0224237,0,.41924748,0,8857961778,0,0,17.159978058292133,0,0,20081,2018.5,2008,10.5,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,2.9342558,2.3275962,4.9420853,.91180271,79.367035,.25173414,2.6211593,.22910373,21128240313,23.773876,22.904582527468587,-.075928077,.43396226,1.1698114,2.1320755,3,0,0,.01005206,.00013746899,.0082098842,.00011228309,.00065166154,8.8378074e-06,.007553081,.00010337547,.012050671,.012051384,.00016507773,.00016508836,.0040953862,.0040970976,.000055910845,.000055934317,.0079018548,.0078994725,.00010843977,.00010840625
11,ACWI,20184,-.13391128,-.064229339,201812,2008-03-26,.77006507,All World,32,1.6810803,20.211939,45.549706,-7.9882989,15.318419,0,.45303056,0,9821036421,0,0,17.26318802642054,0,0,20081,2018.75,2008,10.75,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,2.3418477,1.9032348,5.1532235,1.1098317,88.520828,.22245012,2.1695008,.18485703,21678529200,23.799587,23.007792495597,-.075494915,.027777778,.58333331,2.3055556,2,0,0,.010706685,.00015636653,.0091163386,.00013308406,-.00075349497,-.000010471542,.0098712258,.0001435765,.015630355,.015632881,.00023022153,.00023026139,.0075658401,.0075649866,.00011489848,.00011488008,.0080940677,.0080923624,.0001157805,.00011575848
12,ACWI,20191,.11736732,-.13391128,20193,2008-03-26,.77006507,All World,32,1.6659665,19.241041,23.342886,1.2315242,5.6876893,0,.44086227,0,10066190401,0,0,17.28784369120452,0,0,20081,2019,2008,11,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,3.2228305,2.6992016,5.0348272,1.3516371,81.667709,.2442895,2.7286465,.26541662,22832960194,23.851471,23.032448160380977,-.075928077,.20754717,.52830189,2.1320755,3,0,0,.010042819,.000144732,.0087981829,.00012687071,.00095508655,.000013565524,.0078349905,.00011318098,.014474686,.014478216,.00020868763,.00020874394,.0057642446,.0057614143,.000083253457,.000083210551,.0086719673,.0086743217,.00012484498,.00012487847
13,ACWI,20192,.033909902,.11736732,20196,2008-03-26,.77006507,All World,32,1.7207434,19.188698,34.466614,-1.779341,5.1580796,0,.46228889,0,10559917743,0,0,17.335726856529096,0,0,20081,2019.25,2008,11.25,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,2.8338311,2.4331563,4.6523685,1.6359124,87.004929,.33671656,2.527864,.3008123,22842681017,23.851896,23.08033132570555,-.076516151,.10344828,.31034482,1.8965517,2,0,1,.010061999,.00013801985,.00890972,.00012237785,.00085052312,.000011628958,.0080579706,.00011073156,.01172232,.011716999,.000161011,.00016093648,.0045876377,.0045988206,.000063039952,.000063197003,.0071418388,.0071359882,.000098063756,.000097981399
14,ACWI,20193,.00054252002,.033909902,20199,2008-03-26,.77006507,All World,32,1.6900027,18.927811,13.501272,1.1732011,3.9048951,0,.47255719,0,10729627296,0,0,17.35167018904695,0,0,20081,2019.5,2008,11.5,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,0,.31999999,0,.31999999,Susquehanna,2.6680369,2.3859129,4.5354867,1.9132179,88.960106,.41120407,2.4177086,.34434468,22705457607,23.845871,23.096274658223404,-.075217485,.15000001,.40000001,2.4166667,2,0,1,.013867441,.00018841076,.0085952291,.00011741945,.00034412224,4.4175654e-06,.008251518,.00011300721,.010390078,.010391208,.00014184642,.00014186304,.0031174768,.003109578,.00004220723,.00004209789,.0072759087,.0072826762,.000099685552,.000099778255
15,ACWI,20194,.090599589,.026885858,201912,2008-03-26,.77006507,All World,32,1.8220295,18.91188,29.274263,-1.7289726,3.7134759,0,.45458469,0,11110084951,0,0,17.386514617746897,0,0,20081,2019.75,2008,11.75,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,.1,.33000001,-.0099999998,.31999999,Susquehanna,2.8029742,2.5052128,4.5163083,2.1115713,88.062866,.41456988,2.5706165,.35560149,24440076955,23.919491,23.131119086923352,-.074886322,.14084508,.49295774,2.5492957,2,0,1,.022036066,.00028424684,.0079148654,.00010379678,-.00045181403,-6.3522548e-06,.0083664302,.00011014581,.01142371,.011426625,.0001491734,.00014921096,.0043432857,.0043391432,.00005567681,.000055621735,.0070863273,.0070875497,.000093572657,.000093590119
16,ACWI,20201,-.23632148,.090599589,20203,2008-03-26,.77006507,All World,32,24.341265,20.050137,96.80851,-14.594818,13.897781,0,.44469416,0,9052888825,0,0,17.181745281728336,0,0,20081,2020,2008,12,20,2,2,2,1,2,1,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,.1,.33000001,-.0099999998,.31999999,Susquehanna,3.614248,3.4904397,4.4438868,2.4182987,92.096642,.3183589,3.2647736,.27445009,20357562026,23.736719,22.926349750904794,-.0732821,.1780822,.79452056,3.1917808,3,0,1,.02006237,.00030524225,.011598842,.00016950138,.00037153871,6.7486494e-06,.011226782,.00016274781,.01669324,.016795153,.00025160064,.00025345111,.011898686,.011734873,.0001921277,.00018925384,.0048997607,.0049616443,.000061365339,.000062388433
17,ACWI,20202,.17235695,-.23632148,20206,2008-03-26,.77006507,All World,32,3.7924562,19.182997,46.457634,-2.32443,4.6930237,0,.46541992,0,11478381510,0,0,17.419126765272797,0,0,20081,2020.25,2008,12.25,20,2,2,2,1,1,0,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,.1,.33000001,-.0099999998,.31999999,Susquehanna,2.8943152,2.6834011,4.0467677,2.3151131,92.07373,.27364093,2.6344614,.2540184,24662419984,23.928547,23.163731234449255,-.074357234,.10447761,.26865673,2.761194,2,0,1,.010702384,.00015464872,.0089647407,.00012913448,.00088797312,.000013033289,.0080762999,.00011609555,.010408641,.010402541,.0001501611,.00015007569,.0021598823,.0021775956,.000032752061,.000033008153,.008245863,.0082342485,.00011737097,.00011720024
18,ACWI,20203,.080752,.17235695,20209,2008-03-26,.77006507,All World,32,2.7912917,19.444246,31.31642,.96527213,5.6444569,0,.46682942,0,12458904188,0,0,17.50109693087331,0,0,20081,2020.5,2008,12.5,20,2,2,2,1,2,1,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,.1,.33000001,-.0099999998,.31999999,Susquehanna,2.2994053,1.9551731,3.8532557,2.4598951,90.65609,.26215553,2.2255151,.24164666,26688343309,24.007492,23.245701400049764,-.074789092,.05882353,.19117647,2.5882354,2,0,1,.0102546,.00012955915,.0083015105,.00010493989,.00012343713,1.5304471e-06,.0081778467,.0001034067,.011204494,.011204528,.00014165162,.00014165396,.0032139691,.0032079874,.000041828644,.000041751653,.0079978779,.0080038272,.000099917517,.000099992183
19,ACWI,20204,.13449706,.080752,202012,2008-03-26,.77006507,All World,32,2.8893518,19.206131,28.263157,.89393985,3.8735127,0,.46267968,0,14280984001,0,0,17.637590229940425,0,0,20081,2020.75,2008,12.75,20,2,2,2,1,2,1,2,1,0,iShares,iShares MSCI ACWI ETF,MSCI ACWI Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,7800,.1,.33000001,-.0099999998,.31999999,Susquehanna,2.6103148,2.3208709,3.9128349,2.6504679,92.148193,.25133842,2.5015111,.25174057,30865811508,24.152914,23.38219469911688,-.076380655,.21311475,.1147541,1.9508197,2,0,1,.017341569,.00019939215,.0083975373,.000098652723,-.00092219567,-.000011517843,.0093199965,.00011017362,.011582311,.011581701,.00013516108,.0001351555,.0042143199,.0042173723,.000048422473,.000048454029,.0073588691,.0073564085,.000086637927,.000086611668
20,ACWX,20161,-.0032873971,.022040278,20163,2008-03-26,0,MSCI ACWI ex-US Index,33,3.3067691,17.332783,73.4086,20.480734,4.4667168,0,.72671151,0,1898820952,0,1,15.650666168408334,0,0,20081,2016,2008,8,20,2,2,2,1,1,0,1,0,0,Blackrock,iShares MSCI ACWI ex US,MSCI ACWI Ex USA NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.33000001,0,.33000001,Susquehanna,5.5586677,3.6803174,6.7247071,.090375297,26.600861,.085674845,5.8292108,.055254791,2612895088.4,21.683725,21.364498978918036,-.077922449,.16666667,0,1.3333334,5,1,1,.010680605,.00028619842,.0092487605,.00024789758,.00051715638,.000013491655,.008732358,.00023442625,.012346834,.012344686,.00033043037,.00033037705,.006941413,.0069417013,.00018441885,.00018443035,.0054045143,.0054063713,.00014599253,.00014603428
21,ACWX,20162,.0049564298,-.0032873971,20166,2008-03-26,0,MSCI ACWI ex-US Index,33,3.2521994,17.17639,104.80913,-2.6083837,3.9478195,0,.70488894,0,1855000476,0,1,15.627317979099848,0,0,20081,2016.25,2008,8.25,20,2,2,2,1,1,0,1,0,0,Blackrock,iShares MSCI ACWI ex US ETF,MSCI ACWI Ex USA NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.33000001,0,.33000001,Susquehanna,5.8408279,3.9300556,6.6938105,.30734941,23.476498,.013408678,5.6175942,.017520968,2631621021.5,21.690866,21.34115078960955,-.077818416,0,.041666668,1.375,5,1,1,.010373789,.00026162196,.0092105661,.00023228474,.0010508725,.000026836404,.0081587955,.00020542629,.011888918,.011888133,.00029879701,.00029877963,.0053203963,.0053180521,.0001346334,.0001345708,.0065743802,.0065775095,.0001643124,.00016439233
22,ACWX,20163,.062675908,.0049564298,20169,2008-03-26,0,MSCI ACWI ex-US Index,33,3.0016491,17.024071,93.348457,8.425499,3.2013016,0,.70217443,0,1940182381,0,1,15.672215005917947,0,0,20081,2016.5,2008,8.5,20,2,2,2,1,1,0,1,0,0,Blackrock,iShares MSCI ACWI ex US ETF,MSCI ACWI Ex USA NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.33000001,0,.33000001,Susquehanna,4.696631,3.2869177,6.6851406,.35968593,61.825626,.35773873,4.8657503,.28902829,2763106114.3,21.739622,21.38604781642765,-.077556238,.039999999,.12,1.48,5,1,1,.010445767,.00025698691,.0093466267,.00022997076,.0010970198,.000026793976,.0082493387,.00020316953,.012155061,.012156182,.00029899355,.00029902291,.0033507387,.0033504348,.000082337589,.000082329854,.0088053392,.0088045215,.00021668276,.00021666122
23,ACWX,20164,-.019950414,.062675908,201612,2008-03-26,0,MSCI ACWI ex-US Index,33,2.7083905,17.791906,54.129391,-10.710793,6.7735839,0,.69484121,0,1989425190,0,1,15.6972787742019,0,0,20081,2016.75,2008,8.75,20,2,2,2,1,1,0,1,0,0,Blackrock,iShares MSCI ACWI ex US ETF,MSCI ACWI Ex USA NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.33000001,0,.33000001,Susquehanna,5.6718779,5.8715425,6.4979668,.56630057,68.298691,.039794829,5.7619195,.031631604,2863136356.7,21.775183,21.411111584711602,-.077803552,.095238097,1,1.3809524,5,1,1,.017786151,.00043388284,.0084820855,.00020952121,-.0011342476,-.000027432156,.0096170017,.00023696978,.012144025,.012143337,.00029990729,.00029989122,.0058202841,.0058201142,.00014411136,.00014410612,.0063325032,.0063333628,.00015601394,.00015603524
24,ACWX,20171,.079908989,-.019950414,20173,2008-03-26,0,MSCI ACWI ex-US Index,33,2.5191343,17.012215,53.567039,5.7282662,2.9774969,0,.65025312,0,2064441391,0,1,15.734292703421579,0,0,20081,2017,2008,9,20,2,2,2,1,1,0,1,0,0,Blackrock,iShares MSCI ACWI ex US ETF,MSCI ACWI Ex USA NR USD,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.33000001,0,.33000001,Susquehanna,5.0984478,5.6276069,4.8102336,.72883648,68.716064,.2140241,5.5649695,.15036467,3174827261,21.878519,21.44812551393128,-.077446848,.047619049,.19047619,1.5238096,5,1,1,.010236826,.00024191169,.0085972585,.00020307151,.0033006698,.000077870209,.005299353,.00012526714,.010621255,.010622064,.00025120331,.00025122266,.0075906659,.0075918091,.00017978634,.0001798126,.0029942873,.0029923217,.00007052828,.000070482311
25,ACWX,20172,.058872364,.079908989,20176,2008-03-26,0,MSCI ACWI ex-US Index,32,3.3107626,16.646879,63.209534,-2.4669218,1.8614975,0,.63050884,0,2301485714,0,1,15.812216244769711,0,0,20081,2017.25,2008,9.25,20,2,2,2,1,2,1,1,0,0,iShares,iShares MSCI ACWI ex US ETF,MSCI ACWI ex-US Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.31999999,0,.31999999,Susquehanna,6.3161397,7.4101524,4.8984051,.92863679,65.869415,.047095802,5.7911258,.029393664,3650203719,22.018049,21.556820713946166,-.077890441,.23076923,.92307693,1.3461539,5,1,1,.01095719,.0002425774,.0083232783,.00018460523,.0033576214,.000074356074,.0049655912,.00011024701,.0098319985,.0098319715,.00021808494,.00021808471,.0049564,.00495853,.00010978069,.00010982691,.0048780595,.0048759533,.00010835814,.00010831213
26,ACWX,20173,.058777828,.058872364,20179,2008-03-26,0,MSCI ACWI ex-US Index,32,2.391294,16.808792,36.49221,-2.2619166,1.85721,0,.6521517,0,2708130600,0,1,15.974919949131227,0,0,20081,2017.5,2008,9.5,20,2,2,2,1,1,0,1,0,0,iShares,iShares MSCI ACWI ex US ETF,MSCI ACWI ex-US Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.31999999,0,.31999999,Susquehanna,5.4207916,5.8634658,5.4719105,.64300585,74.457443,.032397825,5.5033793,.069392718,4152608342,22.147003,21.71952441830768,-.078286581,.125,.4375,1.1875,5,1,1,.04378029,.00095753407,.0090236394,.00019123475,.0048563215,.00010293603,.004167594,.000088303721,.01105242,.01105234,.00023416958,.00023416837,.009818011,.0098172734,.00020836986,.0002083538,.0012386354,.0012394591,.000025887814,.000025905207
27,ACWX,20174,.043207128,.058777828,201712,2008-03-26,0,MSCI ACWI ex-US Index,32,2.3236334,17.191423,40.0252,-2.0783398,2.3582034,0,.66592193,0,3130782100,0,1,16.11994421331363,0,0,20081,2017.75,2008,9.75,20,2,2,2,1,1,0,1,0,0,iShares,iShares MSCI ACWI ex US ETF,MSCI ACWI ex-US Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.31999999,0,.31999999,Susquehanna,3.9339933,3.6452947,5.8000627,.14912556,84.022041,.13282992,3.8042467,.11191174,4701425272,22.271132,21.864548682490085,-.078607872,.29411766,.29411766,1.0588236,4,1,1,.015366459,.00031193314,.009319623,.00018918904,.0053108996,.00010790738,.0040092655,.000081292681,.011005471,.011005098,.00022334738,.00022334028,.0067893472,.0067916489,.00013789698,.00013794344,.0042168014,.0042148717,.000085464599,.000085425258
28,ACWX,20181,-.0052187992,.043207128,20183,2008-03-26,0,MSCI ACWI ex-US Index,32,4.3946662,17.171259,87.959709,8.9866238,2.2719285,0,.67190295,0,3185473238,0,1,16.137262229116164,0,0,20081,2018,2008,10,20,2,2,2,1,1,0,1,0,0,iShares,iShares MSCI ACWI ex US ETF,MSCI ACWI ex-US Index,Regulated Investment Company,0,Equity,Broad Equity,0,0,11700,0,.31999999,0,.31999999,Susquehanna,3.0976052,1.7006298,6.2179937,.2112257,70.003418,.11140916,3.2094905,.0960261,4740972155,22.279509,21.881866698292622,-.077662356,0,.125,1.4375,3,1,1,.019329807,.00038119068,.010762589,.00021226324,.0037470642,.000072272109,.0070145866,.00013997211,.01426982,.014270698,.00028075022,.00028077074,.0088639315,.0088784834,.00017393882,.00017422796,.0054063136,.0053908811,.00010682232,.00010651255
